CPU_Usage,Internal_Temp,External_Temp,External_Humidity,Power_Draw,Solar_Wind,Grid_Price,Occupancy,Day,Hour,Active_Users,AI_Task_Load,Event
40.0,27.0,33.6,78.9,135.0,16.4,0.2,5,Monday,3,692644.4,0,Power_Spike
70.3,42.0,44.6,86.7,124.4,13.0,0.1,2,Monday,4,1263791.2,1,Normal
43.3,36.1,29.3,80.5,110.0,10.5,0.1,6,Monday,5,681277.8,0,Normal
26.4,27.1,23.7,67.1,110.0,16.4,0.1,8,Monday,6,594619.9,0,Normal
39.3,32.8,32.1,66.4,110.0,27.0,0.1,7,Monday,7,816190.9,0,Normal
100.0,42.0,35.5,68.7,208.1,19.6,0.2,14,Monday,8,2000000.0,1,AI_Demand_High
100.0,42.0,26.5,73.9,187.6,19.7,0.2,17,Monday,9,2325059.1,0,Power_Spike
100.0,42.0,37.3,72.8,216.2,34.4,0.2,19,Monday,10,2324666.5,0,Power_Spike
100.0,42.0,44.3,86.8,183.4,32.4,0.2,18,Monday,11,2279702.1,1,Normal
80.4,42.0,38.0,76.5,162.6,24.4,0.2,12,Monday,12,1557869.3,0,Heatwave
100.0,42.0,25.9,94.1,206.1,28.6,0.2,23,Monday,13,2555395.7,0,Power_Spike
37.6,31.3,26.8,74.3,110.0,28.9,0.2,18,Monday,14,738592.4,1,Normal
77.4,42.0,28.0,93.2,149.9,17.5,0.2,15,Monday,15,1493090.3,1,Normal
100.0,42.0,28.7,83.4,188.8,30.3,0.2,22,Monday,16,2000000.0,1,AI_Demand_High
90.8,42.0,20.7,79.9,165.1,16.4,0.2,24,Monday,17,1828587.8,0,Normal
28.0,36.9,38.6,85.0,110.0,18.5,0.2,3,Monday,18,500000.0,0,Maintenance
63.4,42.0,27.9,86.1,130.0,12.1,0.2,8,Monday,19,901188.1,1,AI_Demand_High
49.0,35.1,41.8,70.2,130.0,10.6,0.2,2,Monday,20,635466.7,1,AI_Demand_High
46.9,42.0,43.0,87.6,110.0,3.7,0.1,7,Monday,21,912513.7,0,Normal
61.3,33.0,18.7,86.8,130.0,0.0,0.1,6,Monday,22,1173431.3,1,AI_Demand_High
25.0,35.8,44.7,94.9,110.0,0.8,0.1,8,Monday,23,424571.0,0,Normal
44.0,39.6,37.2,92.4,110.0,0.0,0.1,4,Tuesday,0,773055.5,0,Normal
33.8,31.9,32.1,85.5,110.0,2.9,0.1,2,Tuesday,1,672235.9,0,Normal
64.7,38.6,28.5,86.4,135.0,0.0,0.1,9,Tuesday,2,914122.3,0,Power_Spike
35.4,33.0,32.0,93.4,110.0,6.1,0.1,3,Tuesday,3,495782.7,0,Normal
72.4,42.0,26.8,94.0,145.9,11.8,0.1,3,Tuesday,4,1322771.1,0,Normal
65.8,42.0,34.8,89.8,148.6,7.6,0.1,5,Tuesday,5,1304600.5,1,Normal
57.1,40.0,20.5,88.0,114.9,18.4,0.1,9,Tuesday,6,1204283.5,0,Normal
25.0,32.1,34.8,68.3,110.0,25.5,0.0,1,Tuesday,7,540285.2,0,Normal
100.0,42.0,31.4,79.9,185.9,11.4,0.2,15,Tuesday,8,2583815.0,0,Heatwave
100.0,42.0,18.5,72.6,202.4,21.7,0.2,21,Tuesday,9,1936886.9,1,Power_Spike
48.0,40.4,38.0,71.9,125.0,21.1,0.2,15,Tuesday,10,912967.9,0,Heatwave
44.4,37.1,33.6,77.2,110.0,34.6,0.2,13,Tuesday,11,905799.7,0,Normal
67.1,42.0,29.5,75.4,118.4,35.8,0.2,24,Tuesday,12,1379758.9,0,Normal
100.0,42.0,20.0,74.3,197.2,22.5,0.2,19,Tuesday,13,2303263.3,1,Normal
94.9,42.0,38.0,80.7,186.7,19.4,0.2,12,Tuesday,14,2010836.1,0,Heatwave
97.1,42.0,34.5,88.1,185.7,22.8,0.2,21,Tuesday,15,1885143.0,0,Normal
74.5,42.0,21.1,80.7,121.9,24.0,0.2,17,Tuesday,16,1284242.7,0,Normal
68.6,42.0,37.8,74.9,163.2,27.7,0.2,18,Tuesday,17,1384090.5,0,Heatwave
66.8,38.2,31.4,94.5,130.0,7.1,0.2,3,Tuesday,18,1076911.9,1,AI_Demand_High
72.3,42.0,19.6,76.9,155.8,14.5,0.2,5,Tuesday,19,1331474.9,0,Normal
58.5,42.0,34.4,81.5,125.0,5.7,0.2,2,Tuesday,20,1268215.2,1,Normal
55.0,42.0,39.8,81.0,110.0,9.4,0.1,6,Tuesday,21,1055105.1,0,Normal
33.4,35.4,38.0,83.1,125.0,3.6,0.1,3,Tuesday,22,755915.3,0,Heatwave
67.1,42.0,29.5,65.5,166.3,4.5,0.1,1,Tuesday,23,1238622.0,0,Heatwave
25.0,27.0,41.3,94.6,110.0,0.0,0.1,3,Wednesday,0,366272.9,0,Normal
56.8,42.0,27.2,74.1,134.8,7.5,0.1,9,Wednesday,1,1101013.2,0,Normal
54.1,37.5,43.6,68.3,130.0,1.5,0.2,7,Wednesday,2,929952.2,1,AI_Demand_High
40.4,34.6,19.9,70.7,110.0,2.7,0.1,4,Wednesday,3,723489.2,0,Normal
93.9,42.0,31.1,77.8,177.2,13.0,0.2,7,Wednesday,4,1328268.9,0,Power_Spike
57.8,42.0,34.1,84.5,114.9,25.7,0.1,6,Wednesday,5,1276033.5,0,Normal
41.4,31.3,24.7,80.5,110.0,8.4,0.1,2,Wednesday,6,869497.3,0,Normal
49.0,30.7,38.8,76.3,135.0,13.5,0.1,2,Wednesday,7,652620.5,1,Power_Spike
97.4,42.0,38.0,71.9,192.0,24.7,0.2,22,Wednesday,8,1853897.5,0,Heatwave
62.7,40.7,18.5,90.2,126.8,27.8,0.2,21,Wednesday,9,1321564.4,1,Normal
100.0,42.0,34.4,90.2,195.7,25.2,0.2,22,Wednesday,10,2000000.0,1,AI_Demand_High
100.0,42.0,31.3,86.8,185.3,22.0,0.2,14,Wednesday,11,1922351.6,0,Normal
70.0,42.0,23.3,93.6,158.7,30.5,0.2,22,Wednesday,12,1501868.2,0,Maintenance
25.2,33.3,44.9,82.7,110.0,35.2,0.2,17,Wednesday,13,713679.2,0,Normal
48.5,42.0,38.0,65.0,125.0,25.1,0.2,15,Wednesday,14,1043793.4,1,Heatwave
59.1,42.0,25.9,73.7,110.0,31.2,0.2,19,Wednesday,15,994125.6,0,Normal
100.0,42.0,32.6,74.8,204.9,23.1,0.2,18,Wednesday,16,2000000.0,1,AI_Demand_High
66.8,39.8,26.5,81.4,130.0,9.9,0.2,24,Wednesday,17,988676.5,1,AI_Demand_High
39.1,36.8,38.9,92.1,110.0,13.2,0.2,6,Wednesday,18,804064.1,0,Normal
45.0,32.8,43.1,90.1,130.0,8.3,0.2,8,Wednesday,19,534517.2,1,AI_Demand_High
33.5,28.0,27.7,72.0,110.0,19.5,0.2,5,Wednesday,20,686527.8,1,Normal
71.5,42.0,38.0,70.6,151.7,0.8,0.1,9,Wednesday,21,1295156.8,1,Heatwave
40.0,27.0,31.5,84.8,135.0,2.9,0.2,1,Wednesday,22,359790.2,0,Power_Spike
25.0,28.9,28.7,94.6,110.0,3.9,0.1,4,Wednesday,23,500000.0,0,Maintenance
64.8,42.0,43.3,65.9,120.7,14.5,0.1,2,Thursday,0,1174521.6,0,Normal
25.0,31.0,37.8,68.9,125.0,14.6,0.1,6,Thursday,1,358866.2,0,Heatwave
73.0,42.0,30.6,94.6,137.5,4.4,0.1,9,Thursday,2,1294566.0,0,Normal
25.0,31.3,38.0,84.3,125.0,9.1,0.1,8,Thursday,3,444243.1,0,Heatwave
27.3,27.0,25.1,74.9,110.0,15.3,0.1,9,Thursday,4,552298.6,0,Normal
56.7,33.6,26.8,65.0,135.0,8.5,0.2,6,Thursday,5,945655.9,0,Power_Spike
59.6,40.9,43.2,82.6,130.0,17.6,0.1,9,Thursday,6,948171.8,1,AI_Demand_High
55.3,42.0,36.3,91.0,123.4,24.5,0.1,6,Thursday,7,1283367.4,1,Normal
100.0,42.0,40.3,74.7,218.6,24.2,0.2,16,Thursday,8,2052844.3,0,Power_Spike
100.0,42.0,25.3,93.0,183.9,32.7,0.2,14,Thursday,9,1944939.1,1,Power_Spike
100.0,42.0,32.7,75.0,191.3,26.5,0.2,23,Thursday,10,2501575.7,0,Normal
91.3,42.0,38.0,73.3,192.2,31.6,0.2,23,Thursday,11,1740294.4,1,Heatwave
65.0,36.8,26.6,86.7,130.0,27.5,0.2,23,Thursday,12,1327995.2,1,AI_Demand_High
99.9,42.0,28.3,65.4,211.6,24.3,0.2,14,Thursday,13,1838083.0,1,Heatwave
79.3,42.0,37.8,65.6,175.5,35.8,0.2,20,Thursday,14,1286441.0,0,Heatwave
100.0,42.0,28.5,79.1,212.7,24.2,0.2,20,Thursday,15,2000000.0,1,AI_Demand_High
50.2,30.0,22.3,90.1,130.0,20.2,0.2,24,Thursday,16,818279.3,1,AI_Demand_High
100.0,42.0,38.0,65.0,199.3,16.8,0.2,14,Thursday,17,1812847.4,0,Heatwave
25.0,34.0,38.0,73.9,125.0,27.9,0.2,3,Thursday,18,491164.8,0,Heatwave
34.8,33.7,33.4,85.3,110.0,19.1,0.2,5,Thursday,19,693863.8,0,Normal
40.0,34.6,38.9,81.7,135.0,12.0,0.2,1,Thursday,20,447427.4,0,Power_Spike
67.8,42.0,41.2,93.1,138.3,0.0,0.1,1,Thursday,21,1194839.8,1,Normal
26.1,30.3,36.9,83.1,110.0,10.3,0.1,2,Thursday,22,478844.8,0,Normal
25.0,27.0,19.2,84.0,110.0,9.4,0.1,6,Thursday,23,499814.0,0,Normal
48.2,37.3,22.3,83.0,110.0,0.0,0.0,2,Friday,0,1077703.9,0,Normal
52.3,30.4,19.9,86.7,135.0,1.5,0.1,2,Friday,1,786165.8,0,Power_Spike
62.9,34.6,18.3,69.1,130.0,6.3,0.1,6,Friday,2,1173833.6,1,AI_Demand_High
27.5,32.3,26.3,91.8,110.0,13.5,0.1,9,Friday,3,500000.0,0,Maintenance
55.0,40.9,28.6,66.3,119.8,10.8,0.1,4,Friday,4,1167426.4,0,Normal
60.7,33.5,24.5,84.2,130.0,20.4,0.1,3,Friday,5,1190876.4,1,AI_Demand_High
84.4,42.0,19.7,83.5,135.7,12.9,0.1,2,Friday,6,1236691.4,0,Power_Spike
40.0,27.0,32.3,71.2,135.0,14.1,0.2,2,Friday,7,503278.3,1,Power_Spike
32.8,27.0,25.4,66.2,110.0,34.3,0.2,24,Friday,8,809131.7,1,Normal
48.0,42.0,38.0,65.0,127.6,18.4,0.2,13,Friday,9,979703.4,0,Heatwave
82.9,42.0,24.2,65.0,189.4,24.7,0.2,18,Friday,10,1650477.4,0,Heatwave
65.4,42.0,40.7,91.5,126.2,30.4,0.2,24,Friday,11,1246901.0,0,Maintenance
59.3,42.0,43.8,90.7,127.8,24.8,0.2,17,Friday,12,992813.6,0,Maintenance
100.0,42.0,37.3,66.9,194.0,28.7,0.2,18,Friday,13,2171873.6,0,Normal
100.0,42.0,37.8,73.7,199.9,28.0,0.2,14,Friday,14,2000000.0,1,AI_Demand_High
100.0,42.0,38.0,81.7,219.9,8.1,0.2,13,Friday,15,2157041.9,1,Heatwave
86.9,42.0,23.6,72.1,158.3,30.1,0.2,16,Friday,16,1786682.3,1,Normal
100.0,42.0,44.9,94.9,205.4,17.4,0.2,22,Friday,17,2547912.9,0,Power_Spike
42.6,41.3,38.9,72.7,110.0,12.6,0.2,7,Friday,18,865001.2,1,Normal
61.6,42.0,37.6,87.2,124.4,1.4,0.2,2,Friday,19,1158117.8,0,Normal
51.4,42.0,27.7,77.5,110.0,3.5,0.2,6,Friday,20,1031483.6,0,Normal
59.8,42.0,38.0,65.0,131.8,0.0,0.1,9,Friday,21,1222803.4,0,Heatwave
44.9,37.4,35.7,72.7,110.0,7.2,0.1,8,Friday,22,891303.0,0,Normal
56.3,42.0,34.7,85.3,110.0,3.8,0.1,5,Friday,23,1199432.5,0,Normal
44.5,42.0,37.0,75.1,110.0,3.7,0.1,5,Saturday,0,786804.1,0,Maintenance
40.0,33.3,20.2,83.1,110.0,7.3,0.1,4,Saturday,1,1049466.6,0,Normal
37.5,39.6,27.6,71.2,110.0,9.6,0.1,5,Saturday,2,571990.4,0,Maintenance
52.6,30.4,29.7,78.5,130.0,18.0,0.1,5,Saturday,3,739190.8,1,AI_Demand_High
27.4,27.0,25.0,80.4,110.0,18.8,0.1,7,Saturday,4,640860.5,1,Normal
50.4,30.0,22.7,77.4,130.0,20.3,0.1,2,Saturday,5,456611.4,1,AI_Demand_High
67.7,42.0,21.8,70.9,144.9,18.9,0.1,5,Saturday,6,1343961.5,0,Normal
25.0,27.0,27.9,78.8,110.0,24.7,0.1,2,Saturday,7,394830.8,0,Normal
100.0,42.0,31.3,85.8,220.0,16.2,0.2,16,Saturday,8,2000000.0,1,AI_Demand_High
78.6,42.0,19.7,93.9,147.6,19.7,0.2,19,Saturday,9,1224984.8,1,Power_Spike
42.0,37.4,43.6,88.7,110.0,33.7,0.2,16,Saturday,10,792422.8,1,Normal
79.8,42.0,38.7,69.8,157.5,28.7,0.2,14,Saturday,11,1647873.5,0,Normal
48.2,40.7,37.7,73.2,110.0,31.2,0.2,22,Saturday,12,910305.5,0,Normal
32.6,28.1,22.7,67.4,110.0,29.9,0.2,24,Saturday,13,683720.7,0,Normal
100.0,42.0,34.3,69.1,205.6,25.9,0.2,16,Saturday,14,2000000.0,1,AI_Demand_High
56.3,42.0,32.3,72.5,110.3,23.5,0.2,24,Saturday,15,1355035.5,0,Normal
100.0,42.0,44.5,71.0,174.8,24.8,0.2,21,Saturday,16,2387872.5,0,Normal
47.8,42.0,38.2,71.4,115.3,22.1,0.2,12,Saturday,17,748495.8,0,Normal
27.2,33.2,38.0,65.0,125.0,23.0,0.2,2,Saturday,18,636246.1,0,Heatwave
80.1,42.0,41.0,74.0,142.1,27.7,0.2,1,Saturday,19,1374637.6,0,Power_Spike
34.7,27.0,22.2,68.8,110.0,9.5,0.2,1,Saturday,20,747985.0,0,Normal
25.0,27.0,18.4,73.3,110.0,8.4,0.1,1,Saturday,21,621082.7,0,Normal
32.6,33.7,36.6,85.7,110.0,0.0,0.1,6,Saturday,22,917145.6,1,Normal
28.1,30.0,20.7,72.1,110.0,0.0,0.1,7,Saturday,23,500000.0,0,Maintenance
52.8,39.4,21.1,70.2,114.4,0.0,0.1,5,Sunday,0,1039042.2,0,Normal
25.0,28.9,38.1,67.0,110.0,5.7,0.1,4,Sunday,1,446493.6,0,Normal
38.2,32.7,25.3,80.0,110.0,8.8,0.1,4,Sunday,2,781952.5,0,Normal
25.0,27.6,35.0,90.3,110.0,10.7,0.1,7,Sunday,3,439563.6,0,Normal
52.7,38.6,42.8,66.8,135.0,19.2,0.1,4,Sunday,4,631883.0,0,Power_Spike
33.8,34.8,32.5,71.3,125.0,24.8,0.1,5,Sunday,5,699332.2,0,Heatwave
29.8,31.0,29.9,74.5,125.0,16.0,0.1,6,Sunday,6,665888.3,0,Heatwave
25.0,27.0,20.9,82.8,110.0,15.6,0.1,5,Sunday,7,365371.3,1,Normal
35.6,37.5,21.5,91.3,110.0,22.6,0.2,24,Sunday,8,568289.3,0,Maintenance
100.0,42.0,19.7,91.0,220.0,26.6,0.2,18,Sunday,9,1970282.6,0,Power_Spike
88.1,42.0,20.4,66.7,182.7,30.0,0.2,22,Sunday,10,1838318.3,0,Normal
43.9,37.0,29.7,75.8,110.1,31.0,0.2,17,Sunday,11,865589.4,1,Normal
70.0,42.0,26.7,85.1,140.4,25.0,0.2,17,Sunday,12,1469715.0,0,Maintenance
45.5,33.6,37.1,93.6,135.0,25.4,0.2,17,Sunday,13,729413.1,0,Power_Spike
68.9,42.0,41.5,89.1,141.4,27.5,0.2,22,Sunday,14,1180407.5,0,Maintenance
31.4,32.0,39.2,70.3,110.0,22.2,0.2,22,Sunday,15,803986.3,1,Normal
70.0,42.0,32.3,73.4,156.1,18.5,0.2,24,Sunday,16,1557017.3,0,Maintenance
83.3,42.0,20.8,87.9,144.7,19.9,0.2,14,Sunday,17,1466075.5,1,AI_Demand_High
25.0,35.0,38.0,69.1,125.0,12.4,0.2,6,Sunday,18,377547.1,1,Heatwave
25.5,32.0,33.8,71.4,125.0,15.5,0.2,9,Sunday,19,485152.5,0,Heatwave
61.6,42.0,26.3,73.3,146.4,12.3,0.2,2,Sunday,20,1234001.3,0,Heatwave
59.4,42.0,40.7,68.1,113.7,8.8,0.1,3,Sunday,21,1304417.1,0,Normal
25.0,27.0,27.1,90.7,110.0,0.8,0.1,3,Sunday,22,500000.0,0,Maintenance
51.9,29.5,23.9,90.9,135.0,12.7,0.1,3,Sunday,23,885719.1,0,Power_Spike
28.3,37.8,41.5,79.0,110.0,2.4,0.1,6,Monday,0,500000.0,0,Maintenance
30.1,34.0,42.4,83.8,110.0,0.0,0.1,2,Monday,1,764022.0,0,Normal
42.3,36.3,27.2,84.8,110.0,7.8,0.1,9,Monday,2,868683.2,1,Normal
38.6,35.3,33.6,65.0,125.0,19.7,0.1,5,Monday,3,896867.3,1,Heatwave
80.9,42.0,33.6,68.4,147.3,12.2,0.1,3,Monday,4,1379145.6,1,AI_Demand_High
42.5,38.1,37.8,65.6,110.0,23.8,0.1,8,Monday,5,889522.2,0,Normal
42.8,34.6,19.7,92.4,110.0,7.1,0.1,7,Monday,6,919217.6,0,Normal
45.5,29.9,34.0,75.4,135.0,15.3,0.1,5,Monday,7,507696.7,0,Power_Spike
99.0,42.0,43.7,67.6,177.2,10.5,0.2,17,Monday,8,1976708.5,0,Normal
65.8,42.0,25.1,79.0,122.4,38.1,0.2,12,Monday,9,1090918.1,0,Maintenance
100.0,42.0,42.5,67.3,196.2,19.0,0.2,24,Monday,10,2000000.0,1,AI_Demand_High
100.0,42.0,38.0,65.0,206.4,33.1,0.2,24,Monday,11,2471045.2,1,Heatwave
100.0,42.0,25.3,79.7,191.8,45.4,0.2,17,Monday,12,2574539.5,0,Normal
63.1,38.7,38.4,80.3,135.5,37.9,0.2,22,Monday,13,1000396.8,1,Power_Spike
71.9,40.1,24.4,82.4,151.2,31.4,0.2,21,Monday,14,1063171.2,1,Power_Spike
70.0,42.0,37.9,84.7,138.6,33.9,0.2,23,Monday,15,1408681.6,0,Maintenance
45.3,42.0,39.5,85.0,110.0,14.7,0.2,19,Monday,16,881125.7,1,Normal
71.0,42.0,30.7,68.0,144.2,23.5,0.2,24,Monday,17,1615187.6,0,Heatwave
58.1,42.0,37.3,84.3,115.2,16.8,0.2,6,Monday,18,936103.7,0,Normal
25.0,27.1,39.9,74.1,110.0,13.8,0.2,4,Monday,19,437959.9,1,Normal
66.6,42.0,27.7,78.2,128.5,12.8,0.2,1,Monday,20,1248620.1,0,Normal
36.3,29.8,22.5,76.8,110.0,15.8,0.1,9,Monday,21,827168.3,0,Normal
58.5,36.5,20.5,74.9,116.0,15.2,0.1,5,Monday,22,1133330.1,0,Normal
72.8,42.0,33.5,72.2,130.0,1.3,0.1,1,Monday,23,1455140.4,1,AI_Demand_High
25.0,35.4,44.4,67.4,110.0,0.0,0.1,3,Tuesday,0,426825.7,0,Normal
45.8,42.0,40.2,80.2,110.0,0.0,0.1,8,Tuesday,1,810442.9,0,Maintenance
46.1,37.8,35.8,71.1,125.0,17.5,0.2,9,Tuesday,2,918241.8,0,Heatwave
37.8,32.5,32.5,75.1,110.0,17.6,0.1,6,Tuesday,3,672755.3,0,Normal
25.0,27.0,25.5,94.3,110.0,2.8,0.1,2,Tuesday,4,607916.4,0,Normal
25.0,28.2,22.4,81.7,110.0,24.5,0.1,6,Tuesday,5,424256.7,0,Normal
38.3,42.0,31.0,91.7,110.0,9.7,0.1,5,Tuesday,6,622959.5,0,Maintenance
49.7,41.6,30.5,82.1,111.5,24.4,0.1,7,Tuesday,7,741290.2,0,Normal
38.8,33.5,32.1,70.7,110.0,19.1,0.2,24,Tuesday,8,793101.4,0,Normal
37.5,41.3,43.7,94.2,110.0,34.0,0.2,20,Tuesday,9,679472.3,0,Normal
100.0,42.0,34.3,91.6,200.8,19.9,0.2,24,Tuesday,10,2557068.8,0,Normal
70.0,42.0,34.4,79.1,160.8,25.8,0.2,21,Tuesday,11,1485201.1,0,Maintenance
25.0,27.0,21.5,72.3,110.0,32.3,0.2,23,Tuesday,12,500000.0,0,Maintenance
100.0,42.0,38.0,65.0,190.7,47.8,0.2,21,Tuesday,13,2033569.2,1,Heatwave
30.1,42.0,38.9,89.2,110.0,24.9,0.2,22,Tuesday,14,633324.9,0,Maintenance
94.3,42.0,41.7,67.1,179.9,20.1,0.2,17,Tuesday,15,2187196.7,1,Normal
100.0,42.0,29.2,84.1,170.2,18.6,0.2,16,Tuesday,16,2427061.0,0,Normal
60.7,40.7,31.6,84.2,130.0,9.9,0.2,14,Tuesday,17,955573.3,1,AI_Demand_High
47.7,39.1,32.1,70.5,110.0,20.7,0.2,3,Tuesday,18,987476.7,0,Normal
25.0,27.0,23.2,86.1,110.0,4.2,0.2,5,Tuesday,19,449738.1,0,Normal
74.1,42.0,36.6,86.2,135.0,16.0,0.2,4,Tuesday,20,810789.7,0,Power_Spike
25.0,33.0,38.0,65.5,125.0,13.5,0.1,2,Tuesday,21,500384.5,0,Heatwave
34.6,31.8,28.4,69.5,125.0,5.2,0.1,2,Tuesday,22,631327.2,0,Heatwave
25.0,27.0,20.3,90.0,110.0,9.8,0.1,3,Tuesday,23,409427.2,1,Normal
51.0,36.8,37.9,80.7,135.0,5.6,0.1,8,Wednesday,0,683966.5,0,Power_Spike
25.0,27.0,25.4,83.5,110.0,3.9,0.1,5,Wednesday,1,399906.5,1,Normal
41.1,34.4,34.8,77.4,110.0,1.2,0.1,5,Wednesday,2,870781.8,1,Normal
59.5,42.0,36.8,69.5,125.3,11.2,0.1,5,Wednesday,3,970984.7,1,Normal
49.6,42.0,26.7,94.9,128.8,11.8,0.1,2,Wednesday,4,765169.0,0,Maintenance
80.5,42.0,40.0,80.9,176.8,17.5,0.2,6,Wednesday,5,1293756.8,0,Power_Spike
40.7,35.9,32.8,75.1,110.0,18.0,0.1,1,Wednesday,6,1089711.7,1,Normal
44.2,41.9,41.5,86.4,110.0,18.3,0.1,4,Wednesday,7,928071.2,0,Normal
73.1,42.0,38.6,83.6,130.6,25.1,0.2,19,Wednesday,8,1137116.5,1,Normal
67.2,42.0,41.5,72.0,133.1,34.4,0.2,20,Wednesday,9,1370972.2,0,Normal
48.7,29.3,18.5,91.3,110.0,15.7,0.2,17,Wednesday,10,842033.4,0,Normal
100.0,42.0,24.6,67.1,197.5,26.1,0.2,22,Wednesday,11,2000000.0,1,AI_Demand_High
